Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website
456,"University of Alabama, Birmingham",Birmingham,AL,Public,13308,20902,17535,9254,36800,87200,92,990,1370,21,28,www.uab.edu
457,Sonoma State University,Rohnert Park,CA,Public,9244,9481,17296,7277,37914,97100,82,980,1170,19,24,www.sonoma.edu
458,Canisius College,Buffalo,NY,Private,2861,3464,20913,26244,52172,90000,78,1040,1260,22,28,www.canisius.edu
459,Houghton College,Houghton,NY,Private,1043,1231,19325,22690,44408,77900,91,1060,1320,22,29,www.houghton.edu
460,Hamline University,Saint Paul,MN,Private,2346,3734,21103,26309,52178,90400,69,1015,1260,20,26,www.hamline.edu
461,Ouachita Baptist University,Arkadelphia,AR,Private,1545,1648,18509,17776,37600,80200,71,1020,1260,21,28,www.obu.edu
462,Ohio Wesleyan University,Delaware,OH,Private,1560,1712,25194,31028,60350,99200,71,,,,,www.owu.edu
463,Birmingham-Southern College,Birmingham,AL,Private,1283,1325,22853,26594,52414,88300,62,1030,1260,23,29,www.bsc.edu
464,Berea College,Berea,KY,Private,1670,1710,1298,33422,35394,71600,35,970,1200,22,27,www.berea.edu
465,Roanoke College,Salem,VA,Private,2035,2087,27435,26726,59327,85100,67,1040,1230,22,27,roanoke.edu
466,"University of Colorado, Denver",Denver,CO,Public,19806,24839,14941,6251,44114,95600,65,1060,1280,21,27,www.cu.edu
467,Saint Vincent College,Latrobe,PA,Private,1720,1865,20909,25507,48879,88300,62,1020,1210,20,26,www.stvincent.edu
468,Spelman College,Atlanta,GA,Private,2137,2166,36740,13647,51642,85400,40,1070,1215,22,26,www.spelman.edu
469,"California State University, Sacramento",Sacramento,CA,Public,30445,31255,9733,8984,37622,101100,68,940,1140,17,23,www.csus.edu
470,Wittenberg University,Springfield,OH,Private,1884,2053,24263,26135,52056,105400,72,,,,,www.wittenberg.edu
471,South Dakota State University,Brookings,SD,Public,12516,13103,23362,4201,26052,91900,91,980,1260,20,26,www.sdstate.edu
472,Coe College,Cedar Rapids,IA,Private,1394,1476,20767,31543,55240,86900,56,1073,1326,22,28,www.coe.edu
473,East Carolina University,Greenville,NC,Public,25207,29131,15415,8225,38277,85400,79,1030,1180,20,24,www.ecu.edu
474,"California State University, Northridge",Northridge,CA,Public,37184,41319,5703,9782,34007,97300,58,910,1120,17,22,www.csun.edu
475,University of Alabama in Huntsville,Huntsville,AL,Public,7519,9101,19986,9587,36881,103900,81,1080,1330,25,31,www.uah.edu
476,Mercer University,Macon,GA,Private,5057,8653,21044,28528,51293,85100,73,1170,1340,25,30,www.mercer.edu
477,Oklahoma City University,Oklahoma City,OK,Private,1983,2845,26838,18588,45408,87900,72,1110,1280,23,28,www.okcu.edu
478,Rider University,Lawrenceville,NJ,Private,4371,5073,29086,25766,59700,99000,67,990,1190,19,26,www.rider.edu
479,Loyola University New Orleans,New Orleans,LA,Private,2766,3759,22766,27972,55402,88600,69,1080,1270,22,28,www.loyno.edu
480,Nova Southeastern University,Fort-Lauderdale-Davie,FL,Private,4840,20793,26606,19075,49149,89800,58,1080,1280,23,28,www.nova.edu
481,Grand Valley State University,Allendale,MI,Public,24282,25049,16975,6374,29314,82100,81,1050,1230,21,26,www.gvsu.edu
482,Florida Atlantic University,Boca Raton,FL,Public,30208,31454,10466,8635,35804,91200,60,1060,1220,21,26,www.fau.edu
483,Northwestern College (IA),Orange City,IA,Private,1131,1243,23064,19343,43650,82400,68,995,1235,21,27,www.nwciowa.edu
484,Pacific University (OR),Forest Grove,OR,Private,1995,3893,29902,26103,57488,94000,84,1070,1260,22,27,www.pacificu.edu
485,"University of North Carolina, Charlotte",Charlotte,NC,Public,26758,29317,16286,7385,37081,92600,66,1110,1270,22,26,www.uncc.edu
486,Tennessee Technological University,Cookeville,TN,Public,10215,10504,14813,9050,42377,95100,64,1010,1250,21,28,www.tntech.edu
487,Ball State University,Muncie,IN,Public,19231,22513,15187,10658,40448,83700,62,1080,1240,20,24,cms.bsu.edu
488,Elmhurst College,Elmhurst,IL,Private,3122,3481,22443,21852,50000,88500,71,985,1210,20,26,https://www.elmhurst.edu
489,Touro College,New York,NY,Private,8622,11908,23539,6815,35111,103100,74,,,,,www.touro.edu
490,"CUNY, John Jay College of Criminal Justice",New York,NY,Public,14834,15583,3843,9007,41261,84800,39,980,1130,,,www.jjay.cuny.edu
491,"CUNY, Lehman College",New York,NY,Public,14130,15231,1886,10685,34532,83500,35,970,1100,,,www.lehman.cuny.edu
492,"California State University, East Bay",Hayward,CA,Public,14691,16538,11566,9402,36990,103500,74,,,,,www.csueastbay.edu
493,University of South Dakota,Vermillion,SD,Public,9416,10261,17344,5145,25521,87900,87,1010,1230,20,25,www.usd.edu
494,"University of North Carolina, Asheville",Asheville,NC,Public,3852,4429,12763,8060,36638,76100,80,1080,1260,22,28,www.unca.edu
495,Ashland University,Ashland,OH,Private,6471,6781,20221,12432,33954,80000,74,965,1180,20,25,www.ashland.edu
496,Simpson College (IA),Indianola,IA,Private,1479,1695,22005,25683,50180,88600,84,1070,1220,21,27,simpson.edu
497,"University of Missouri, Saint Louis",St. Louis,MO,Public,16715,17095,9930,12471,40607,87500,76,1065,1225,22,27,www.umsl.edu
498,Florida Southern College,Lakeland,FL,Private,2759,3055,24679,21189,49900,82500,51,1070,1250,24,29,https://www.flsouthern.edu
499,"California State University, Los Angeles",Los Angeles,CA,Public,24862,28531,3792,9553,36726,93800,46,890,1080,15,20,www.calstatela.edu
500,"California State University, San Bernardino",San Bernardino,CA,Public,19244,20692,8519,9287,36127,87500,57,910,1090,16,21,www.csusb.edu
501,"University of Texas, Arlington",Arlington,TX,Public,42966,46497,13200,8484,39860,99500,71,1060,1270,20,27,www.uta.edu
502,"University of Northwestern, St. Paul",Saint Paul,MN,Private,3521,3702,23249,17134,43404,,93,970,1235,21,27,www.nwc.edu
503,Lawrence Technological University,Southfield,MI,Private,2268,3069,27331,17291,47482,108400,60,950,1330,21,28,https://www.ltu.edu
504,Mississippi College,Clinton,MS,Private,3513,5036,16693,13649,32385,79500,39,1070,1290,22,29,www.mc.edu
505,University of North Georgia,Dahlonega,GA,Public,18782,20811,9854,5483,28094,85600,78,910,1130,20,25,www.ung.edu
506,Webster University,St. Louis,MO,Private,3732,12736,22937,17927,44962,83500,54,1040,1253,21,26,www.webster.edu
507,University of North Texas,Denton,TX,Public,35099,38276,13832,10638,33908,90100,72,1060,1260,21,27,www.unt.edu
508,Texas State University,San Marcos,TX,Public,37449,38666,15545,8129,34245,90600,73,1020,1200,20,26,www.txstate.edu
509,University of Maine,Orono,ME,Public,10304,11240,17074,8544,43618,95000,92,1050,1250,22,27,www.umaine.edu
510,Central College,Pella,IA,Private,1237,1433,22558,26389,50547,88800,70,950,1220,21,26,www.central.edu
511,Christian Brothers University,Memphis,TN,Private,1919,2157,9468,23780,44430,96500,53,,,21,27,www.cbu.edu/admissions
512,Manhattanville College,Purchase,NY,Private,1802,2690,21923,26213,54780,97500,82,,,,,www.mville.edu
513,Georgia State University,Atlanta,GA,Public,29773,32816,15506,10090,40873,90800,70,1040,1220,19,26,www.gsu.edu
514,William Jewell College,Liberty,MO,Private,933,1082,21134,25621,47928,94500,48,990,1240,23,28,www.jewell.edu/home
515,Northern Arizona University,Flagstaff,AZ,Public,29609,31051,14789,10044,40705,90000,81,,,,,nau.edu
516,Westminster College (PA),New Wilmington,PA,Private,1263,1289,21618,25476,49546,87700,72,990,1220,20,27,www.westminster.edu
517,Missouri State University,Springfield,MO,Public,22856,23697,15855,5480,28502,86800,84,1020,1245,21,26,www.missouristate.edu
518,"University of Nebraska, Omaha",Omaha,NE,Public,14610,15731,13173,6485,34522,89500,87,840,1102,19,26,www.unomaha.edu
519,Florida Gulf Coast University,Fort Myers,FL,Public,14965,15317,15376,4726,39434,80000,64,1060,1210,21,25,www.fgcu.edu
520,Meredith College,Raleigh,NC,Private,1789,1980,24545,21258,49324,77100,69,1000,1195,20,25,www.meredith.edu
521,College of Idaho,Caldwell,ID,Private,954,999,21433,18125,41347,82100,76,,,,,www.collegeofidaho.edu
522,Carroll University,Waukesha,WI,Private,3048,3452,22736,18551,44150,86500,71,975,1210,21,26,www.carrollu.edu
523,Old Dominion University,Norfolk,VA,Public,22386,24375,15368,7270,43444,89900,86,980,1200,18,25,odu.edu
524,Mount Saint Mary's University (CA),Los Angeles,CA,Private,3100,3226,28274,23270,59392,97500,81,920,1120,16,21,www.msmc.la.edu/index.asp
525,Andrews University,Berrien Springs,MI,Private,2250,3300,21460,16809,39714,85000,58,1040,1320,21,29,www.andrews.edu
526,Lynn University,Boca Raton,FL,Private,2245,3010,35077,14306,55923,85000,85,,,,,www.lynn.edu
527,Baldwin Wallace University,Berea,OH,Private,3577,3791,23729,19781,46004,82800,78,,,,,www.bw.edu
528,Otterbein University,Westerville,OH,Private,2608,2936,24287,20110,46390,85600,76,1040,1305,21,27,www.otterbein.edu
529,University of Massachusetts Boston,Boston,MA,Public,15848,16415,12412,11342,46941,95400,75,1040,1220,21,26,www.umb.edu
530,Queens University of Charlotte,Charlotte,NC,Private,1906,2507,23348,22152,48776,86600,79,1010,1198,21,26,www.queens.edu
531,"Minnesota State University, Mankato",Mankato,MN,Public,14712,15273,15615,5108,28278,90900,61,,,20,24,www.mnsu.edu
532,Portland State University,Portland,OR,Public,26693,27483,13578,6772,43989,90500,92,990,1220,19,25,www.pdx.edu
533,Westminster College (MO),Fulton,MO,Private,767,972,20402,18133,40510,,90,1015,1175,21,26,www.westminster-mo.edu
534,University of Northern Colorado,Greeley,CO,Public,11278,13399,20367,7708,35653,87100,89,1000,1240,19,25,www.unco.edu
535,Ripon College,Ripon,WI,Private,756,813,18592,28951,52341,89600,68,1040,1260,20,26,www.ripon.edu
536,Marietta College,Marietta,OH,Private,1145,1220,24022,22617,50104,94300,67,960,1215,20,25,www.marietta.edu
537,Sam Houston State University,Huntsville,TX,Public,19784,20938,13560,8976,31784,89900,74,1000,1140,19,23,shsu.edu
538,St. Mary's University (TX),San Antonio,TX,Private,2432,3649,17522,22029,44490,95300,80,1040,1230,20,26,https://www.stmarytx.edu
539,Illinois College,Jacksonville,IL,Private,959,987,16501,24557,42830,81700,55,,,,,www.ic.edu
540,Central Washington University,Ellensburg,WA,Public,12901,15944,14382,7096,36708,93200,86,910,1100,17,24,www.cwu.edu
541,Doane University,Crete,NE,Private,1069,1072,24449,20109,46710,85300,65,,,20,25,www.doane.edu
542,University of Hartford,West Hartford,CT,Private,6259,6561,30440,21526,54662,101600,81,1030,1230,21,27,www.hartford.edu
543,Hood College,Frederick,MD,Private,1214,2112,23416,26864,54840,82600,81,,,,,www.hood.edu
544,University of Colorado Colorado Springs,Colorado Springs,CO,Public,12932,14122,15872,5682,36298,90900,93,1040,1250,21,26,www.uccs.edu
545,St. Catherine University,St. Paul,MN,Private,3747,4724,19935,26729,50716,82600,70,1040,1310,20,26,www.stkate.edu
546,Fairleigh Dickinson University,Teaneck,NJ,Private,6168,7846,16136,31560,56618,93000,88,1002,1200,20,25,view.fdu.edu/default.aspx?id=320
547,Millersville University,Millersville,PA,Public,7720,7915,22032,5668,38569,84700,79,970,1160,,,https://www.millersville.edu
548,"University of Nevada, Las Vegas",Las Vegas,NV,Public,27561,30471,10555,4998,37639,90400,81,1030,1240,19,24,www.unlv.edu
549,Wisconsin Lutheran College,Milwaukee,WI,Private,1114,1198,20073,18027,41996,82500,90,1008,1278,20,26,www.wlc.edu
550,Randolph College,Lynchburg,VA,Private,684,691,25614,26264,54225,,86,950,1190,19,25,www.randolphcollege.edu
551,"CUNY, College of Staten Island",Staten Island,NY,Public,13594,15245,5687,7929,39124,94600,,,,,,www.csi.cuny.edu
552,Vanguard University,Costa Mesa,CA,Private,2116,2394,21374,22396,46770,85600,47,930,1120,18,24,www.vanguard.edu
553,Immaculata University,Immaculata,PA,Private,1906,2481,31971,21301,45960,88100,83,950,1170,17,23,www.immaculata.edu
554,Lycoming College,Williamsport,PA,Private,1217,1404,19019,31000,53870,91000,64,988,1200,21,25,www.lycoming.edu
555,"University of Louisiana, Lafayette",Lafayette,LA,Public,17297,17556,12768,7899,38503,92500,51,820,1180,21,26,www.louisiana.edu
556,Huntington University,Huntington,IN,Private,1146,1321,21892,17623,37296,,81,950,1170,20,24,huntington.edu
557,Hollins University,Roanoke,VA,Private,674,790,19456,32492,54205,78000,48,1110,1295,23,28,www.hollins.edu/index.shtml
558,Benedictine University,Lisle,IL,Private,3731,5100,23827,18272,48016,89400,62,916,1100,19,25,www.ben.edu
559,"University of North Carolina, Greensboro",Greensboro,NC,Public,18091,19922,12226,9017,35818,76600,78,1030,1180,20,25,www.uncg.edu
560,King's College (PA),Wilkes-Barre,PA,Private,2244,2469,25898,21560,52030,86500,71,,,,,www.kings.edu
561,Hastings College,Hastings,NE,Private,1202,1227,21703,19652,43527,87100,68,970,1150,20,25,www.hastings.edu
562,Georgia Southern University,Statesboro,GA,Public,20314,20418,16548,6648,33646,88000,68,1100,1230,22,26,www.georgiasouthern.edu
563,Southern Illinois University Edwardsville,Edwardsville,IL,Public,13294,13796,15574,6756,37774,90100,90,980,1225,20,26,www.siue.edu
564,Western Michigan University,Kalamazoo,MI,Public,19990,22869,16934,7894,27895,92200,82,960,1190,20,26,wmich.edu
565,Asbury University,Wilmore,KY,Private,1772,1990,28095,15833,40575,70800,70,980,1280,21,28,www.asbury.edu
566,Oakland University,Rochester,MI,Public,19321,19333,12779,9476,36581,93300,84,1010,1230,21,27,www.oakland.edu
567,University of New Mexico,Albuquerque,NM,Public,23124,26221,14315,6847,36736,94000,67,930,1170,19,25,www.unm.edu
568,Bloomsburg University of Pennsylvania,Bloomsburg,PA,Public,9260,9729,19725,5720,35750,92200,73,970,1150,19,24,www.bloomu.edu
569,Boise State University,Boise,ID,Public,23634,24121,13796,8258,37248,86400,84,940,1160,21,26,www.boisestate.edu
570,College of the Atlantic,Bar Harbor,ME,Private,354,390,20234,37756,54969,,68,,,,,www.coa.edu/index.htm
571,"University of Texas, Rio Grande Valley",Edinburg,TX,Public,27807,27809,3901,9398,29995,81200,80,950,1120,17,22,www.utrgv.edu
572,Maryville College,Maryville,TN,Private,1181,1247,18146,27778,49266,75300,49,930,1150,20,27,www.maryvillecollege.edu
573,Oral Roberts University,Tulsa,OK,Private,3781,3919,19035,19393,41054,85100,93,990,1210,20,26,www.oru.edu
574,"University of Alaska, Fairbanks",Fairbanks,AK,Public,7664,11866,9988,7457,32563,101800,77,1030,1270,17,25,www.alaska.edu
575,Randolph-Macon College,Ashland,VA,Private,1453,1491,25621,25338,54180,,62,1050,1233,21,27,www.rmc.edu
576,Montana Tech of the University of Montana,Butte,MT,Public,1909,2155,12993,6405,35755,112600,92,1115,1300,22,27,www.mtech.edu
577,"St. John's College, Santa Fe",Santa Fe,NM,Private,354,386,20605,31845,65456,,63,1190,1350,23,32,www.sjca.edu
578,"Indiana University-Purdue University, Indianapolis",Indianapolis,IN,Public,25516,29791,12021,11347,43022,88200,80,995,1190,19,26,www.iupui.edu
579,Hartwick College,Oneonta,NY,Private,1201,1435,26136,29494,57627,99200,89,920,1100,21,26,www.hartwick.edu
580,Alfred University,Alfred,NY,Private,2017,2354,22286,20676,43686,92000,63,990,1210,21,26,www.alfred.edu
581,Oklahoma Baptist University,Shawnee,OK,Private,2056,2093,16267,18708,39840,76600,65,960,1150,20,26,www.okbu.edu
582,Alma College,Alma,MI,Private,1426,1484,21836,28481,52475,89900,64,1030,1230,20,27,www.alma.edu
583,Saint Cloud State University,St. Cloud,MN,Public,14975,15955,14633,5216,28920,91600,86,958,1188,18,24,www.stcloudstate.edu
584,Capital University,Columbus,OH,Private,3120,3384,20866,25272,48674,85100,69,1075,1245,22,27,www.capital.edu
585,Liberty University,Lynchburg,VA,Private,60084,75044,27573,10400,38364,73600,30,1040,1240,21,27,www.liberty.edu
586,Russell Sage College,Troy,NY,Private,1560,2525,19696,21706,45397,81100,56,,,,,www.sage.edu/rsc
587,Converse College,Spartanburg,SC,Private,906,1478,21556,12497,34190,71000,71,970,1160,20,26,www.converse.edu
588,Oglethorpe University,Atlanta,GA,Private,1250,1589,22018,27532,53490,91400,58,1110,1310,22,28,www.oglethorpe.edu
589,Central Michigan University,Mount Pleasant,MI,Public,20786,23257,15531,8624,35236,83600,68,1010,1200,20,27,www.cmich.edu
590,"University of Wisconsin, Milwaukee",Milwaukee,WI,Public,24337,24988,16650,5647,35510,90300,72,,,20,25,www.uwm.edu
591,Bowling Green State University,Bowling Green,OH,Public,16592,17357,19128,6542,32105,87500,73,990,1230,19,24,www.bgsu.edu
592,Texas Woman's University,Denton,TX,Public,12020,15473,9493,8426,29683,83400,86,890,1080,17,23,www.twu.edu
593,University of Mount Union,Alliance,OH,Private,2195,2257,22786,17954,42725,88500,81,980,1200,20,25,www.mountunion.edu
594,Clarke University,Dubuque,IA,Private,845,1039,24334,17474,45900,80200,63,970,1148,20,25,www.clarke.edu
595,Carthage College,Kenosha,WI,Private,2860,2940,26532,26379,57250,85400,68,1040,1300,21,27,www.carthage.edu
596,Centenary College of Louisiana,Shreveport,LA,Private,501,588,24704,26633,53000,88400,62,1030,1210,22,28,www.centenary.edu
597,Wichita State University,Wichita,KS,Public,12704,15075,14113,5793,32716,87300,94,1000,1275,20,27,www.wichita.edu
598,Aurora University,Aurora,IL,Private,4248,5833,17220,15909,37028,83400,87,950,1130,19,23,www.aurora.edu
599,Georgetown College (KY),Georgetown,KY,Private,1051,1767,20769,29107,50086,81900,67,,,20,26,https://www.georgetowncollege.edu
600,Western Kentucky University,Bowling Green,KY,Public,20257,21431,11850,7295,36806,83100,95,970,1180,19,27,www.wku.edu
601,Wayne State University,Detroit,MI,Public,20314,27064,12970,9682,40763,91700,67,1000,1210,21,28,wayne.edu
602,Western Colorado University,Gunnison,CO,Public,2814,3343,17229,6195,35144,81500,86,990,1200,20,25,www.western.edu
603,Rhode Island College,Providence,RI,Public,8171,8318,10366,6877,35465,83500,74,880,1090,15,22,www.ric.edu
604,Weber State University,Ogden,UT,Public,27949,32248,12061,4579,29912,94000,,,,,,www.weber.edu
605,Salem College,Winston-Salem,NC,Private,968,984,17669,25354,46080,73700,57,1020,1300,23,29,www.salem.edu
606,"University of Texas, El Paso",El Paso,TX,Public,24386,25078,8135,9183,36955,92100,100,920,1130,16,22,www.utep.edu
607,Spring Hill College,Mobile,AL,Private,1442,1485,21108,29825,55168,,46,1025,1185,21,26,www.shc.edu
608,Sweet Briar College,Sweet Briar,VA,Private,323,406,21291,30802,54155,79700,93,993,1180,20,28,sbc.edu
609,University of Toledo,Toledo,OH,Public,18077,20579,13832,8050,34375,92500,94,1020,1240,20,26,www.utoledo.edu
610,University of Montana,Missoula,MT,Public,11671,11865,15006,5404,38356,87800,93,1060,1270,21,26,www.umt.edu
611,Southeastern Louisiana University,Hammond,LA,Public,14285,16512,12739,7250,34155,83900,88,,,19,24,www.selu.edu
612,University of South Alabama,Mobile,AL,Public,12848,15569,14237,6927,28210,86400,82,1010,1200,20,26,www.southalabama.edu
613,Murray State University,Murray,KY,Public,9916,10012,11497,8426,37870,79900,87,980,1190,21,27,www.murraystate.edu
614,Anderson University (IN),Anderson,IN,Private,1877,1961,23799,17790,43450,78600,65,910,1110,19,25,anderson.edu
615,University of West Florida,Pensacola,FL,Public,12449,13040,10729,5222,31895,81700,50,1080,1240,22,27,uwf.edu
616,University of New Orleans,New Orleans,LA,Public,7964,8082,11135,8151,28568,91600,57,1030,1250,20,25,www.uno.edu
617,Indiana University of Pennsylvania,Indiana,PA,Public,12003,12431,20940,6772,32461,85900,91,910,1120,17,23,ww.iup.edu
618,North Greenville University,Tigerville,SC,Private,2356,2565,26450,15812,36000,,61,930,1270,19,28,www.ngu.edu
619,University of Texas at San Antonio,San Antonio,TX,Public,27880,30768,12745,8177,34484,87500,79,1030,1210,20,25,www.utsa.edu
620,Millikin University,Decatur,IL,Private,2040,2132,20435,23312,47664,83400,65,1080,1260,19,26,www.millikin.edu/Pages/default.aspx
621,Northern Illinois University,DeKalb,IL,Public,15429,18045,19786,9482,38314,95500,53,,,19,24,www.niu.edu/index.shtml
622,Cleveland State University,Cleveland,OH,Public,14594,16371,16582,7096,30825,88600,90,990,1210,19,25,www.csuohio.edu
623,Humboldt State University,Arcata,CA,Public,8525,8602,14490,9038,36601,89000,82,960,1160,18,24,www.humboldt.edu
624,Monmouth College,Monmouth,IL,Private,1033,1205,17190,27809,47970,88100,67,900,1090,20,25,www.monmouthcollege.edu
625,St. Francis College,Brooklyn,NY,Private,2362,2745,9560,15533,44488,93200,63,950,1120,20,24,www.sfc.edu
626,Elmira College,Elmira,NY,Private,1012,1135,26255,26883,55050,82200,85,,,,,www.elmira.edu
627,University of Southern Mississippi,Hattiesburg,MS,Public,13606,14478,13178,9292,24883,83900,98,,,19,26,home.usm.edu
628,Lyon College,Batesville,AR,Private,672,705,18605,18534,39120,,64,1030,1234,22,28,www.lyon.edu
629,Southern Illinois University Carbondale,Carbondale,IL,Public,13518,14554,17175,10924,42770,90900,76,920,1330,20,26,siu.edu
630,Kent State University Kent Campus,Kent,OH,Public,27376,28972,18432,7306,34046,83100,88,1040,1220,21,25,www.kent.edu
631,Middle Tennessee State University,Murfreesboro,TN,Public,21913,23050,12416,8607,40458,81100,59,990,1210,20,25,www.mtsu.edu
632,Warren Wilson College,Asheville,NC,Private,661,695,25117,19414,49744,74600,79,1140,1285,25,29,www.warren-wilson.edu/external_index.php
633,Northern Kentucky University,Highland Heights,KY,Public,14141,14456,9131,8295,32136,87400,90,993,1210,20,26,www.nku.edu
634,Western Illinois University,Macomb,IL,Public,9441,9656,15844,9239,25835,85900,60,,,18,23,www.wiu.edu
635,"University of Alaska, Anchorage",Anchorage,AK,Public,15733,23824,13378,6207,39902,101000,83,,,,,www.uaa.alaska.edu
636,Fort Lewis College,Durango,CO,Public,3332,3925,17705,10850,36843,82600,83,1020,1210,20,25,www.fortlewis.edu
637,Marlboro College,Marlboro,VT,Private,185,390,17636,33054,55625,,97,,,,,www.marlboro.edu
638,Wright State University,Dayton,OH,Public,14332,15957,16249,6546,32506,87800,97,980,1270,19,25,https://www.wright.edu
639,Hiram College,Hiram,OH,Private,1200,1221,21474,23318,47757,84100,64,940,1200,18,24,www.hiram.edu
640,University of Memphis,Memphis,TN,Public,19875,21521,13921,8960,36372,85800,85,1010,1230,19,25,www.mephis.edu
641,Eastern Kentucky University,Richmond,KY,Public,16155,16612,11892,8234,31978,80700,87,960,1130,20,25,www.eku.edu
642,Fisk University,Nashville,TN,Private,701,738,28362,9396,37070,83600,45,940,1260,16,22,www.fisk.edu/Home.aspx
643,Guilford College,Greensboro,NC,Private,1680,2050,23560,22964,50813,75600,91,,,,,www.guilford.edu
644,Carson-Newman University,Jefferson City,TN,Private,1934,2514,18003,20126,40640,76500,67,940,1150,20,26,www.cn.edu
645,Morehouse College,Atlanta,GA,Private,2202,2219,34928,17318,48723,98700,74,950,1160,18,23,https://www.morehouse.edu
646,New Mexico State University,Las Cruces,NM,Public,13379,14432,8625,9582,34720,96700,64,910,1160,18,23,www.nmsu.edu
647,Indiana State University,Terre Haute,IN,Public,13626,13763,13012,9297,32938,85600,85,900,1110,17,23,www.indstate.edu
648,Emory &amp; Henry College,Emory,VA,Private,1094,1226,19340,27155,48100,70700,72,988,1170,19,25,www.ehc.edu
649,Wells College,Aurora,NY,Private,488,516,22828,30207,55180,,80,,,,,www.wells.edu
650,Catawba College,Salisbury,NC,Private,1336,1463,19807,23662,44921,78100,42,930,1100,18,23,www.catawba.edu
